days,hour_frac,tdry,rh,wspd,wspdmax
1,0,-4.5,86.699997,2.4,5.9
1,0.083333333,-4.5,86.699997,2.5,4.7
1,0.166666667,-4.5,86.699997,1.7,4.4
1,0.25,-4.5,86.599998,2.6,5.4
1,0.333333333,-4.6,86.599998,2.4,5.8
1,0.416666667,-4.7,86.400002,1.8,3.7
1,0.5,-4.7,86.5,2.1,4.1
1,0.583333333,-4.8,86.400002,2.2,5.8
1,0.666666667,-4.8,86.199997,2.7,5.9
1,0.75,-5.1,85.800003,2.9,6.9
1,0.833333333,-5.3,85.900002,2.6,5.6
1,0.916666667,-5.3,85.900002,2.1,3.8
1,1,-5.4,86,5.6,11.2
1,1.083333333,-6,83.599998,7.8,12
1,1.166666667,-6.9,82.800003,6.5,10.9
1,1.25,-7.4,83.099998,7.3,10.2
1,1.333333333,-7.9,83.099998,6.6,10
1,1.416666667,-8.3,83.199997,5.5,8
1,1.5,-8.6,83.300003,5.3,7.8
1,1.583333333,-8.7,83.599998,5,7.5
1,1.666666667,-8.7,83.699997,3,5.1
1,1.75,-8.7,83.800003,4.1,6.5
1,1.833333333,-8.8,83.599998,4.5,7.1
1,1.916666667,-9,83.199997,4.4,6.2
1,2,-9.2,83.099998,3.8,5.6
1,2.083333333,-9.3,83.300003,3.3,4.7
1,2.166666667,-9.3,83.400002,3.6,4.9
1,2.25,-9.3,83.400002,3.9,5.9
1,2.333333333,-9.3,83.5,3.5,4.9
1,2.416666667,-9.3,83.5,2.7,3.9
1,2.5,-9.3,83.5,2.9,4.2
1,2.583333333,-9.4,83.099998,2.2,3.1
1,2.666666667,-9.5,83,2,3.2
1,2.75,-9.5,83.400002,1.2,2.3
1,2.833333333,-9.5,83.300003,1.2,1.8
1,2.916666667,-9.5,83.699997,0.7,1.5
1,3,-9.4,83.800003,1,1.8
1,3.083333333,-9.3,83.699997,0.8,1.3
1,3.166666667,-9.3,83.699997,0.7,1.2
1,3.25,-9.4,83.099998,0.8,1.3
1,3.333333333,-9.4,83.5,1.4,2.5
1,3.416666667,-9.4,83.300003,0.8,2.4
1,3.5,-9.3,83.599998,1.2,2.5
1,3.583333333,-9.4,83.199997,0.5,1.3
1,3.666666667,-9.4,83.300003,1.1,2.2
1,3.75,-9.6,82.900002,1.2,2.5
1,3.833333333,-9.6,83.199997,0.8,1.8
1,3.916666667,-9.6,83.199997,1.1,2.5
1,4,-9.7,82.900002,0.9,2.5
1,4.083333333,-9.7,82.900002,1.5,2.5
1,4.166666667,-9.9,82.699997,1,2
1,4.25,-9.9,82.699997,1.3,2.3
1,4.333333333,-10.1,82.400002,1.3,2.6
1,4.416666667,-10.2,82.400002,1.7,2.9
1,4.5,-10.3,82.099998,1.6,2.3
1,4.583333333,-10.5,82.099998,1.7,2.8
1,4.666666667,-10.6,82.099998,1.8,2.5
1,4.75,-10.6,82.400002,1.8,2.6
1,4.833333333,-10.7,82.400002,1.5,2.1
1,4.916666667,-10.7,82.599998,1.2,1.7
1,5,-10.7,82.5,1.3,2.1
1,5.083333333,-10.6,82.599998,2,2.8
1,5.166666667,-10.8,82.199997,1.8,2.8
1,5.25,-10.8,82.300003,1.6,2.7
1,5.333333333,-10.9,82.199997,1.7,2.3
1,5.416666667,-11,82.099998,1.5,2.4
1,5.5,-11,82.400002,1.1,2.2
1,5.583333333,-10.9,82.300003,1.4,2.4
1,5.666666667,-11,82.099998,1.9,2.8
1,5.75,-11.1,82.099998,1.5,2.2
1,5.833333333,-11.1,82.199997,1.2,2
1,5.916666667,-11,82.300003,1.4,2
1,6,-11.1,82.199997,1.5,2.8
1,6.083333333,-11.1,82.199997,2.1,3.4
1,6.166666667,-11.1,82.099998,2.8,3.9
1,6.25,-11.2,82,2.9,4.2
1,6.333333333,-11.3,82,3.3,4.9
1,6.416666667,-11.3,82,2.9,3.9
1,6.5,-11.3,82,3.1,4.2
1,6.583333333,-11.4,81.900002,3.5,4.6
1,6.666666667,-11.5,81.699997,3.5,5.2
1,6.75,-11.6,81.699997,2.5,4.2
1,6.833333333,-11.6,81.800003,3,4.4
1,6.916666667,-11.7,81.800003,2.8,4.6
1,7,-11.7,81.800003,3.1,4.1
1,7.083333333,-11.7,81.800003,2.6,4.3
1,7.166666667,-11.8,81.800003,2.7,4.9
1,7.25,-11.8,81.599998,2.9,4.8
1,7.333333333,-11.9,81.300003,3,4.9
1,7.416666667,-12.2,80.699997,3.3,4.9
1,7.5,-12.6,80.199997,3.2,4.5
1,7.583333333,-12.9,80.199997,2.1,3.6
1,7.666666667,-13,80.300003,2.3,3.5
1,7.75,-13.2,80.099998,2.6,3.5
1,7.833333333,-13.4,80.099998,2.3,3.3
1,7.916666667,-13.5,80.400002,2.3,3.3
1,8,-13.5,80.300003,2.5,4.1
1,8.083333333,-13.6,80.300003,3.1,4.3
1,8.166666667,-13.7,80.199997,3.4,4.6
1,8.25,-13.8,80.199997,3,4.1
1,8.333333333,-13.8,80.199997,3.1,4.2
1,8.416666667,-13.9,80.300003,2.5,3.7
1,8.5,-13.9,80.400002,2.2,3.6
1,8.583333333,-13.9,80.300003,2.4,3.2
